GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,LoginAction,22,0,0,0,7,0,3,0,3,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,LoginUI,88,0,4,0,31,0,8,0,6,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,LogoutUI,14,0,0,0,5,0,3,0,3,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,ChangePasswordUI,38,0,2,0,13,0,4,0,3,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,LogoutAction,5,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console.authz,MyUserMenu,76,0,2,0,14,0,4,0,3,0
jobs4u.util.ci/jobs4u.app.common.console,jobs4u.base.app.common.console,BaseApplication,80,0,0,0,32,0,8,0,8,0
jobs4u.util.ci/jobs4u.infrastructure.application,jobs4u.base.authz,AuthenticationCredentialHandler,19,0,0,0,3,0,2,0,2,0
jobs4u.util.ci/jobs4u.infrastructure.application,jobs4u.base,AppSettings,109,0,2,0,30,0,11,0,10,0
jobs4u.util.ci/jobs4u.infrastructure.application,jobs4u.base,Application,7,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,AddUserAction,8,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,ListUsersAction,8,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,DeactivateUserUI,131,0,6,0,26,0,7,0,4,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,ListUsersUI,39,0,0,0,8,0,7,0,7,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,DeactivateUserAction,8,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,SystemUserPrinter,27,0,0,0,3,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.authz,AddUserUI,113,0,6,0,26,0,9,0,6,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.clientuser,AcceptRefuseSignupRequestUI,73,0,5,0,25,0,7,0,4,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.clientuser,AcceptRefuseSignupRequestAction,8,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation.clientuser,SignupRequestPrinter,25,0,0,0,4,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console,BaseBackoffice,57,0,2,0,12,0,6,0,5,0
jobs4u.util.ci/jobs4u.app.backoffice.console,jobs4u.base.app.backoffice.console.presentation,MainMenu,176,0,8,0,36,0,12,0,8,0
jobs4u.util.ci/jobs4u.app.candidate.console,jobs4u.app.candidate.console,Main,7,0,0,0,3,0,2,0,2,0
jobs4u.util.ci/jobs4u.app.customer.console,jobs4u.app.customer.console,Main,7,0,0,0,3,0,2,0,2,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.application.eventhandlers,AddUserOnSignupAcceptedController,54,0,0,0,12,0,2,0,2,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.application.eventhandlers,SignupAcceptedWatchDog,33,0,2,0,10,0,4,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,SignupRequestBuilder,0,96,1,1,0,28,1,9,0,9
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,Jobs4uUser,13,27,2,2,4,10,5,5,3,5
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,MecanographicNumber,25,29,3,3,8,9,7,3,4,3
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,ApprovalStatus,0,21,0,0,0,2,0,1,0,1
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,SignupRequest,75,79,14,6,18,17,17,9,10,6
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain,Jobs4uUserBuilder,5,24,0,0,2,6,1,4,1,4
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application,ListClientUsersController,27,0,0,0,5,0,2,0,2,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application,AcceptRefuseSignupFactory,4,0,0,0,1,0,1,0,1,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application,AcceptRefuseSignupRequestControllerEventfullImpl,80,0,0,0,19,0,5,0,5,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application,AcceptRefuseSignupRequestControllerTxImpl,150,0,4,0,38,0,9,0,7,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application,ClientUserService,47,0,0,0,9,0,3,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.myclientuser.application,SignupController,43,0,0,0,11,0,3,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.myclientuser.application,MyClientUserService,59,0,0,0,11,0,3,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.application,DeactivateUserController,44,0,0,0,7,0,3,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.application,AddUserController,47,0,0,0,8,0,5,0,5,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.application,ListUsersController,79,0,4,0,14,0,6,0,4,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.domain,Jobs4uPasswordPolicy.PasswordStrength,0,21,0,0,0,2,0,1,0,1
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.domain,UserBuilderHelper,20,0,0,0,2,0,2,0,2,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.domain,Jobs4uRoles,75,22,8,0,8,7,8,1,4,1
jobs4u.util.ci/jobs4u.core,jobs4u.base.usermanagement.domain,Jobs4uPasswordPolicy,2,52,2,14,1,16,2,9,0,3
jobs4u.util.ci/jobs4u.core,jobs4u.base.infrastructure.persistence,PersistenceContext,34,0,2,0,9,0,3,0,2,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application.eventhandlers,AddClientUserOnSignupAcceptedController,57,0,0,0,14,0,5,0,5,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.application.eventhandlers,NewUserRegisteredFromSignupWatchDog,24,0,2,0,6,0,4,0,3,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.repositories,ClientUserRepository,4,0,0,0,1,0,1,0,1,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain.events,NewUserRegisteredFromSignupEvent,20,0,0,0,7,0,4,0,4,0
jobs4u.util.ci/jobs4u.core,jobs4u.base.jobs4uusermanagement.domain.events,SignupAcceptedEvent,31,0,0,0,9,0,7,0,7,0
